;This file was generated by make_test_image.py
;Identifier is the unique number written into each sector half
;All numbers in hexadecimal

;PET Track, PET Sector, PET Sector Half (0 or 1), Identifier
0C,14,1,01F7
0D,00,0,01F8
0D,00,1,01F9
0D,01,0,01FA
0D,01,1,01FB
0D,02,0,01FC
0D,02,1,01FD
0D,03,0,01FE
0D,03,1,01FF
0D,04,0,0200
0D,04,1,0201
0D,05,0,0202
0D,05,1,0203
0D,06,0,0204
0D,06,1,0205
0D,07,0,0206
0D,07,1,0207
0D,08,0,0208
0D,08,1,0209
0D,09,0,020A
0D,09,1,020B
0D,0A,0,020C
0D,0A,1,020D
0D,0B,0,020E
0D,0B,1,020F
0D,0C,0,0210
0D,0C,1,0211
0D,0D,0,0212
0D,0D,1,0213
0D,0E,0,0214
0D,0E,1,0215
0D,0F,0,0216
0D,0F,1,0217
0D,10,0,0218
0D,10,1,0219
0D,11,0,021A
0D,11,1,021B
0D,12,0,021C
0D,12,1,021D
0D,13,0,021E
0D,13,1,021F
0D,14,0,0220
0D,14,1,0221
0E,00,0,0222
0E,00,1,0223
0E,01,0,0224
0E,01,1,0225
0E,02,0,0226
0E,02,1,0227
0E,03,0,0228
0E,03,1,0229
0E,04,0,022A
0E,04,1,022B
0E,05,0,022C
0E,05,1,022D
0E,06,0,022E
0E,06,1,022F
0E,07,0,0230
0E,07,1,0231
0E,08,0,0232
0E,08,1,0233
0E,09,0,0234
0E,09,1,0235
0E,0A,0,0236
0E,0A,1,0237
0E,0B,0,0238
0E,0B,1,0239
0E,0C,0,023A
0E,0C,1,023B
0E,0D,0,023C
0E,0D,1,023D
0E,0E,0,023E
0E,0E,1,023F
0E,0F,0,0240
0E,0F,1,0241
0E,10,0,0242
0E,10,1,0243
0E,11,0,0244
0E,11,1,0245
0E,12,0,0246
0E,12,1,0247
0E,13,0,0248
0E,13,1,0249
0E,14,0,024A
0E,14,1,024B
0F,00,0,024C
0F,00,1,024D
0F,01,0,024E
0F,01,1,024F
0F,02,0,0250
0F,02,1,0251
0F,03,0,0252
0F,03,1,0253
0F,04,0,0254
0F,04,1,0255
0F,05,0,0256
0F,05,1,0257
0F,06,0,0258
0F,06,1,0259
0F,07,0,025A
0F,07,1,025B
0F,08,0,025C
0F,08,1,025D
0F,09,0,025E
0F,09,1,025F
0F,0A,0,0260
0F,0A,1,0261
0F,0B,0,0262
0F,0B,1,0263
0F,0C,0,0264
0F,0C,1,0265
0F,0D,0,0266
0F,0D,1,0267
0F,0E,0,0268
0F,0E,1,0269
0F,0F,0,026A
0F,0F,1,026B
0F,10,0,026C
0F,10,1,026D
0F,11,0,026E
0F,11,1,026F
0F,12,0,0270
0F,12,1,0271
0F,13,0,0272
0F,13,1,0273
0F,14,0,0274
0F,14,1,0275
10,00,0,0276
10,00,1,0277
10,01,0,0278
10,01,1,0279
10,02,0,027A
10,02,1,027B
10,03,0,027C
10,03,1,027D
10,04,0,027E
10,04,1,027F
10,05,0,0280
10,05,1,0281
10,06,0,0282
10,06,1,0283
10,07,0,0284
10,07,1,0285
10,08,0,0286
10,08,1,0287
10,09,0,0288
10,09,1,0289
10,0A,0,028A
10,0A,1,028B
10,0B,0,028C
10,0B,1,028D
10,0C,0,028E
10,0C,1,028F
10,0D,0,0290
10,0D,1,0291
10,0E,0,0292
10,0E,1,0293
10,0F,0,0294
10,0F,1,0295
10,10,0,0296
10,10,1,0297
10,11,0,0298
10,11,1,0299
10,12,0,029A
10,12,1,029B
10,13,0,029C
10,13,1,029D
10,14,0,029E
10,14,1,029F
11,00,0,02A0
11,00,1,02A1
11,01,0,02A2
11,01,1,02A3
11,02,0,02A4
11,02,1,02A5
11,03,0,02A6
11,03,1,02A7
