23,30,14,21
23,31,14,22
24,0,14,7
24,1,14,8
24,2,14,9
24,3,14,10
24,4,14,11
24,5,14,12
24,6,14,13
24,7,14,14
24,8,14,15
24,9,14,16
24,10,14,17
24,11,14,18
24,12,14,19
24,13,14,20
24,14,14,21
24,15,14,22
24,16,14,23
24,17,14,24
24,18,14,25
24,19,14,26
24,20,14,27
24,21,14,28
24,22,15,0
24,23,15,1
24,24,15,2
24,25,15,3
24,26,15,4
24,27,15,5
24,28,15,6
24,29,15,7
24,30,15,8
24,31,15,9
25,0,14,23
25,1,14,24
25,2,14,25
25,3,14,26
25,4,14,27
25,5,14,28
25,6,15,0
25,7,15,1
25,8,15,2
25,9,15,3
25,10,15,4
25,11,15,5
25,12,15,6
25,13,15,7
25,14,15,8
25,15,15,9
25,16,15,10
25,17,15,11
25,18,15,12
25,19,15,13
25,20,15,14
25,21,15,15
25,22,15,16
25,23,15,17
25,24,15,18
25,25,15,19
25,26,15,20
25,27,15,21
25,28,15,22
25,29,15,23
25,30,15,24
25,31,15,25
26,0,15,10
26,1,15,11
26,2,15,12
26,3,15,13
26,4,15,14
26,5,15,15
26,6,15,16
26,7,15,17
26,8,15,18
26,9,15,19
26,10,15,20
26,11,15,21
26,12,15,22
26,13,15,23
26,14,15,24
26,15,15,25
26,16,15,26
26,17,15,27
26,18,15,28
26,19,16,0
26,20,16,1
26,21,16,2
26,22,16,3
26,23,16,4
26,24,16,5
26,25,16,6
26,26,16,7
26,27,16,8
26,28,16,9
26,29,16,10
26,30,16,11
26,31,16,12
27,0,15,26
27,1,15,27
27,2,15,28
27,3,16,0
27,4,16,1
27,5,16,2
27,6,16,3
27,7,16,4
27,8,16,5
27,9,16,6
27,10,16,7
27,11,16,8
27,12,16,9
27,13,16,10
27,14,16,11
27,15,16,12
27,16,16,13
27,17,16,14
27,18,16,15
27,19,16,16
27,20,16,17
27,21,16,18
27,22,16,19
27,23,16,20
27,24,16,21
27,25,16,22
27,26,16,23
27,27,16,24
27,28,16,25
27,29,16,26
27,30,16,27
27,31,16,28
28,0,16,13
28,1,16,14
28,2,16,15
28,3,16,16
28,4,16,17
28,5,16,18
28,6,16,19
28,7,16,20
28,8,16,21
28,9,16,22
28,10,16,23
28,11,16,24
28,12,16,25
28,13,16,26
28,14,16,27
28,15,16,28
28,16,17,0
28,17,17,1
28,18,17,2
28,19,17,3
28,20,17,4
28,21,17,5
28,22,17,6
28,23,17,7
28,24,17,8
28,25,17,9
28,26,17,10
28,27,17,11
28,28,17,12
28,29,17,13
28,30,17,14
28,31,17,15
29,0,17,0
29,1,17,1
29,2,17,2
29,3,17,3
29,4,17,4
29,5,17,5
29,6,17,6
29,7,17,7
29,8,17,8
29,9,17,9
29,10,17,10
29,11,17,11
29,12,17,12
29,13,17,13
29,14,17,14
29,15,17,15
29,16,17,16
29,17,17,17
29,18,17,18
29,19,17,19
29,20,17,20
29,21,17,21
29,22,17,22
29,23,17,23
29,24,17,24
29,25,17,25
29,26,17,26
29,27,17,27
29,28,17,28
29,29,18,0
29,30,18,1
29,31,18,2
30,0,17,16
30,1,17,17
30,2,17,18
30,3,17,19
30,4,17,20
30,5,17,21
30,6,17,22
30,7,17,23
30,8,17,24
30,9,17,25
30,10,17,26
30,11,17,27
30,12,17,28
30,13,18,0
30,14,18,1
30,15,18,2
30,16,18,3
30,17,18,4
30,18,18,5
30,19,18,6
30,20,18,7
30,21,18,8
30,22,18,9
30,23,18,10
30,24,18,11
30,25,18,12
30,26,18,13
30,27,18,14
30,28,18,15
30,29,18,16
30,30,18,17
30,31,18,18
31,0,18,3
31,1,18,4
31,2,18,5
31,3,18,6
31,4,18,7
31,5,18,8
31,6,18,9
